City,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index
Auckland,February,2022,52,High,82,130,7.74,118,87
Auckland,March,2022,68,Low,53,31,10.0,112,66
Auckland,April,2022,72,Very High,68,120,7.12,72,93
Auckland,May,2022,62,High,78,129,8.63,105,97
Auckland,June,2022,62,Medium,41,136,8.36,85,88
Auckland,July,2022,60,High,82,108,9.82,93,61
Auckland,August,2022,76,Very High,33,92,6.34,83,81
Auckland,September,2022,62,Very High,45,101,6.45,74,65
Auckland,October,2022,60,High,72,101,9.83,110,91
Auckland,November,2022,73,High,21,67,6.47,81,79
Auckland,December,2022,82,Medium,80,97,8.33,120,81
Auckland,January,2023,67,High,44,69,7.62,65,72
Auckland,February,2023,65,Low,78,127,9.2,74,73
Auckland,March,2023,75,Medium,85,127,8.68,86,66
Auckland,April,2023,57,Medium,56,52,8.9,118,68
Auckland,May,2023,62,Low,16,100,6.16,66,100
Auckland,June,2023,76,Low,11,103,5.45,111,88
Auckland,July,2023,66,Low,16,62,8.74,111,67
Auckland,August,2023,49,Medium,19,103,7.62,56,69
Auckland,September,2023,54,High,48,40,10.0,65,95
Auckland,October,2023,71,High,38,129,6.88,107,88
Auckland,November,2023,64,Very High,64,69,9.47,57,99
Auckland,December,2023,51,Very High,36,110,6.84,60,70
Barcelona,January,2014,60,Low,19,50,6.47,107,98
Barcelona,February,2014,75,Medium,39,66,8.61,108,64
Barcelona,March,2014,59,Very High,85,114,10.0,75,87
Barcelona,April,2014,52,Medium,29,146,5.98,68,64
Barcelona,May,2014,48,Low,49,106,9.15,122,78
Barcelona,June,2014,73,Low,48,119,7.06,84,92
Barcelona,July,2014,79,Medium,20,106,4.93,105,80
Barcelona,August,2014,83,Medium,21,59,8.56,123,97
Barcelona,September,2014,46,Very High,44,103,6.94,72,90
Barcelona,October,2014,78,High,45,53,9.89,105,100
Barcelona,November,2014,76,Very High,70,74,8.77,91,66
Barcelona,December,2014,55,Medium,73,66,10.0,101,95
Barcelona,January,2015,47,Medium,50,62,8.82,101,92
Barcelona,February,2015,45,High,79,89,9.77,74,93
Barcelona,March,2015,68,High,73,110,8.51,56,73
Barcelona,April,2015,62,Medium,46,86,9.4,112,67
Barcelona,May,2015,46,Very High,40,120,6.8,120,60
Barcelona,June,2015,80,Medium,38,137,7.62,109,67
Barcelona,July,2015,54,Medium,47,95,8.98,103,90
Barcelona,August,2015,75,Low,80,48,9.64,126,92
Barcelona,September,2015,53,Very High,45,128,8.52,103,81
Barcelona,October,2015,77,Medium,10,66,7.45,125,97
Barcelona,November,2015,76,Very High,67,98,8.39,92,95
Barcelona,December,2015,79,Medium,51,141,5.92,80,96
Barcelona,January,2016,69,Low,62,35,9.16,110,84
Barcelona,February,2016,69,Very High,29,93,8.62,66,92
Barcelona,March,2016,82,Medium,22,141,6.64,62,93
Barcelona,April,2016,74,Low,28,82,8.37,69,64
Barcelona,May,2016,75,High,43,73,8.38,100,65
Barcelona,June,2016,66,Very High,78,78,10.0,130,91
Barcelona,July,2016,79,Low,18,60,7.54,86,74
Barcelona,August,2016,50,Medium,22,127,7.24,62,88
Barcelona,September,2016,55,High,13,35,7.64,57,78
Barcelona,October,2016,67,Medium,28,61,7.98,122,71
Barcelona,November,2016,55,Low,58,109,9.04,113,97
Barcelona,December,2016,54,Low,42,88,7.57,51,89
Barcelona,January,2017,63,High,30,39,8.36,94,97
Barcelona,February,2017,64,High,64,118,7.53,88,72
Barcelona,March,2017,69,Very High,23,60,7.29,95,96
Barcelona,April,2017,63,Very High,47,32,10.0,100,77
Barcelona,May,2017,45,Medium,16,146,6.69,113,78
Barcelona,June,2017,59,High,55,58,9.68,129,76
Barcelona,July,2017,53,High,15,69,8.5,54,97
Barcelona,August,2017,68,High,21,146,5.27,103,71
Barcelona,September,2017,57,Low,79,142,10.0,117,92
Barcelona,October,2017,62,High,42,146,7.87,111,78
Barcelona,November,2017,66,High,69,39,8.92,78,85
Barcelona,December,2017,80,Medium,60,31,8.67,65,89
Barcelona,January,2018,68,High,43,104,7.24,97,66
Barcelona,February,2018,59,Medium,81,71,10.0,78,64
Barcelona,March,2018,85,High,48,113,6.83,67,62
Barcelona,April,2018,47,Medium,73,44,9.42,118,68
Barcelona,May,2018,69,Medium,79,83,9.69,69,86
Barcelona,June,2018,51,High,62,150,9.3,54,83
Barcelona,July,2018,58,Medium,40,139,6.67,97,94
Barcelona,August,2018,67,Low,45,54,10.0,108,65
Barcelona,September,2018,58,High,12,36,8.88,81,68
Barcelona,October,2018,81,Low,80,56,9.91,79,81
Barcelona,November,2018,54,High,10,65,8.56,68,68
Barcelona,December,2018,79,Medium,32,44,8.51,53,68
Barcelona,January,2019,45,Medium,40,105,7.62,72,76
Barcelona,February,2019,48,Low,63,97,7.98,58,90
Barcelona,March,2019,73,High,75,105,7.54,114,74
Barcelona,April,2019,84,Low,76,68,9.03,53,63
Barcelona,May,2019,75,High,64,117,6.79,106,64
Barcelona,June,2019,50,Medium,28,38,7.74,129,100
Barcelona,July,2019,82,Medium,51,78,9.5,117,78
Barcelona,August,2019,74,Medium,65,42,10.0,64,95
Barcelona,September,2019,58,Medium,39,82,7.7,108,85
Barcelona,October,2019,71,High,50,84,7.63,82,83
Barcelona,November,2019,54,High,70,38,9.19,60,65
Barcelona,December,2019,72,Low,57,133,6.35,57,97
Barcelona,January,2020,80,Medium,25,82,6.52,104,63
Barcelona,February,2020,63,High,55,43,9.68,77,69
Barcelona,March,2020,75,Low,23,74,8.23,97,67
Barcelona,April,2020,62,Medium,64,138,8.12,129,99
Barcelona,May,2020,80,Low,44,33,7.74,89,81
Barcelona,June,2020,67,Low,28,102,7.54,58,69
Barcelona,July,2020,85,Very High,21,125,5.88,98,86
Barcelona,August,2020,74,Medium,57,69,9.34,122,98
Barcelona,September,2020,50,Very High,29,50,9.42,56,65
Barcelona,October,2020,62,Medium,64,92,9.18,103,77
Barcelona,November,2020,58,High,24,74,7.53,86,97
Barcelona,December,2020,76,Medium,49,35,8.14,126,63
Barcelona,January,2021,45,Low,37,128,6.48,82,78
Barcelona,February,2021,65,Low,73,125,8.26,66,84
Barcelona,March,2021,79,High,74,101,9.57,95,64
Barcelona,April,2021,70,Very High,15,85,5.36,59,80
Barcelona,May,2021,81,Medium,61,120,8.03,87,67
Barcelona,June,2021,70,Low,51,51,9.82,129,89
Barcelona,July,2021,68,Low,23,61,7.47,101,93
Barcelona,August,2021,50,Medium,49,125,7.48,92,70
Barcelona,September,2021,49,Medium,24,97,7.58,94,82
Barcelona,October,2021,54,Low,28,62,7.35,127,69
Barcelona,November,2021,49,Low,73,89,10.0,124,88
Barcelona,December,2021,81,High,51,140,8.22,90,69
Barcelona,January,2022,73,Low,66,110,7.66,85,97
Barcelona,February,2022,48,Medium,19,69,7.83,54,63
Barcelona,March,2022,68,High,19,112,7.57,61,99
Barcelona,April,2022,83,Medium,69,104,8.35,55,88
Barcelona,May,2022,81,High,51,107,7.4,69,63
Barcelona,June,2022,73,Low,53,121,6.26,72,62
Barcelona,July,2022,60,High,66,97,8.97,70,83
Barcelona,August,2022,68,Very High,59,82,9.5,126,63
Barcelona,September,2022,85,High,18,72,5.51,99,78
Barcelona,October,2022,61,High,29,72,6.63,68,82
Barcelona,November,2022,64,Very High,60,46,9.85,60,79
Barcelona,December,2022,80,Medium,52,134,5.88,117,65
Barcelona,January,2023,72,Medium,12,76,6.23,77,81
Barcelona,February,2023,76,Low,27,49,6.55,62,92
Barcelona,March,2023,79,High,77,34,10.0,129,68
Barcelona,April,2023,83,Medium,30,53,8.64,129,70
Barcelona,May,2023,73,Low,56,116,8.39,106,99
Barcelona,June,2023,63,High,67,59,9.71,89,90
Barcelona,July,2023,57,Medium,83,86,9.78,86,84
Barcelona,August,2023,77,Medium,30,134,5.31,127,68
Barcelona,September,2023,61,Low,71,141,7.8,63,93
Barcelona,October,2023,52,Medium,30,64,8.21,115,69
Barcelona,November,2023,72,Low,38,134,6.53,94,61
Barcelona,December,2023,71,Low,74,77,8.5,60,83
Berlin,January,2014,59,Low,22,137,7.01,92,69
Berlin,February,2014,53,Low,70,119,9.82,110,88
Berlin,March,2014,84,Low,20,32,6.91,69,95
Berlin,April,2014,83,Medium,24,129,5.25,88,67
Berlin,May,2014,48,Low,68,38,9.35,113,98
Berlin,June,2014,79,Low,75,103,7.8,68,78
Berlin,July,2014,72,Low,55,60,9.05,73,65
Berlin,August,2014,78,Very High,18,97,6.57,114,95
Berlin,September,2014,46,Medium,70,35,10.0,97,76
Berlin,October,2014,46,Medium,18,74,7.08,130,66
Berlin,November,2014,82,High,52,47,7.31,119,81
Berlin,December,2014,56,High,69,119,8.64,73,68
Berlin,January,2015,49,High,68,34,9.95,55,72
Berlin,February,2015,47,Medium,49,95,8.34,119,90
Berlin,March,2015,61,Low,34,66,7.78,56,81
Berlin,April,2015,62,Low,57,85,9.89,106,84
Berlin,May,2015,66,Very High,73,118,8.57,116,77
Berlin,June,2015,50,High,20,85,7.91,73,94
Berlin,July,2015,63,Medium,20,71,7.97,89,88
Berlin,August,2015,83,High,31,118,6.22,107,62
Berlin,September,2015,67,High,65,65,9.71,57,64
Berlin,October,2015,85,Medium,75,132,8.56,70,61
Berlin,November,2015,54,High,66,34,9.22,80,83
Berlin,December,2015,68,Medium,82,34,10.0,107,83
Berlin,January,2016,68,Medium,19,103,5.57,96,85
Berlin,February,2016,65,High,41,44,7.39,73,91
Berlin,March,2016,78,Medium,81,45,9.29,83,88
Berlin,April,2016,58,Very High,46,118,8.99,112,72
Berlin,May,2016,52,Low,19,87,6.48,106,65
Berlin,June,2016,65,High,18,100,6.9,88,70
Berlin,July,2016,85,Low,56,95,6.96,75,68
Berlin,August,2016,60,High,13,76,7.36,97,89
Berlin,September,2016,80,Low,21,38,7.11,111,93
Berlin,October,2016,71,High,83,39,9.29,90,64
Berlin,November,2016,73,Medium,76,74,8.26,120,100
Berlin,December,2016,82,Low,26,85,6.89,57,67
Berlin,January,2017,78,Low,31,50,7.37,78,82
Berlin,February,2017,78,Very High,20,62,6.31,120,77
Berlin,March,2017,53,High,78,41,10.0,71,97
Berlin,April,2017,82,Low,53,137,8.19,55,61
Berlin,May,2017,50,Low,83,63,10.0,123,86
Berlin,June,2017,84,High,73,143,7.92,87,79
Berlin,July,2017,75,Low,61,68,8.69,57,70
Berlin,August,2017,73,Medium,69,56,8.97,68,80
Berlin,September,2017,65,High,54,81,7.48,97,92
Berlin,October,2017,80,Low,40,89,6.29,107,75
Berlin,November,2017,54,Low,47,79,9.77,103,75
Berlin,December,2017,55,High,83,122,8.67,70,91
Berlin,January,2018,77,Medium,49,93,6.36,100,92
Berlin,February,2018,74,Very High,37,104,6.74,56,78
Berlin,March,2018,76,Medium,70,66,9.31,63,87
Berlin,April,2018,53,Very High,56,127,7.82,55,85
Berlin,May,2018,48,Medium,34,76,8.56,59,84
Berlin,June,2018,77,Medium,80,65,10.0,129,99
Berlin,July,2018,52,Low,22,80,7.34,93,95
Berlin,August,2018,68,High,35,107,7.25,114,62
Berlin,September,2018,47,Low,52,132,7.95,108,69
Berlin,October,2018,83,Very High,27,71,8.46,90,70
Berlin,November,2018,70,Very High,48,105,7.23,115,94
Berlin,December,2018,76,High,48,90,8.79,97,81
Berlin,January,2019,52,Very High,84,69,10.0,130,61
Berlin,February,2019,83,Medium,84,103,7.99,56,97
Berlin,March,2019,75,Low,58,48,10.0,81,62
Berlin,April,2019,81,Very High,24,54,6.01,90,86
Berlin,May,2019,54,Medium,36,82,8.19,128,90
Berlin,June,2019,48,High,76,56,10.0,111,93
Berlin,July,2019,69,Medium,32,88,8.69,93,94
Berlin,August,2019,67,High,43,108,7.5,81,77
Berlin,September,2019,80,Medium,48,128,6.33,76,91
Berlin,October,2019,65,Medium,81,149,9.61,85,78
Berlin,November,2019,52,Medium,79,78,10.0,100,82
Berlin,December,2019,54,Medium,46,121,6.54,106,76
Berlin,January,2020,75,Low,78,64,10.0,84,68
Berlin,February,2020,51,High,85,60,9.9,117,74
Berlin,March,2020,85,Low,22,82,6.18,110,66
Berlin,April,2020,53,Low,80,148,7.62,110,90
Berlin,May,2020,57,High,46,71,8.07,57,65
Berlin,June,2020,81,Low,14,146,6.47,103,71
Berlin,July,2020,47,Very High,60,130,8.38,87,62
Berlin,August,2020,45,Medium,23,148,8.06,86,89
Berlin,September,2020,79,Medium,27,138,5.96,84,72
Berlin,October,2020,52,Medium,68,112,8.19,73,60
Berlin,November,2020,66,High,82,116,9.75,72,99
Berlin,December,2020,85,Very High,64,95,7.59,101,66
Berlin,January,2021,56,Very High,71,71,10.0,50,76
Berlin,February,2021,69,Low,44,72,7.66,123,60
Berlin,March,2021,61,High,40,37,9.53,109,79
Berlin,April,2021,55,Medium,74,148,9.54,89,67
Berlin,May,2021,85,Very High,47,77,8.13,78,68
Berlin,June,2021,75,Low,57,83,8.98,110,94
Berlin,July,2021,58,High,20,97,6.96,96,64
Berlin,August,2021,81,Low,80,145,7.89,123,94
Berlin,September,2021,54,Low,76,86,8.55,76,97
Berlin,October,2021,76,Low,75,87,9.91,108,68
Berlin,November,2021,77,Medium,82,37,10.0,89,61
Berlin,December,2021,70,Medium,10,125,4.95,59,62
Berlin,January,2022,72,Medium,18,99,8.06,58,90
Berlin,February,2022,47,Medium,33,128,6.26,103,83
Berlin,March,2022,69,Medium,58,78,7.43,119,68
Berlin,April,2022,67,Low,78,80,9.6,78,60
Berlin,May,2022,46,Very High,69,116,9.72,104,94
Berlin,June,2022,69,High,41,88,7.35,85,72
Berlin,July,2022,52,Low,63,108,9.6,52,75
Berlin,August,2022,58,Low,14,87,7.37,56,75
Berlin,September,2022,47,Medium,39,99,7.32,57,68
Berlin,October,2022,77,Very High,39,134,7.82,123,80
Berlin,November,2022,81,Medium,51,60,7.82,68,93
Berlin,December,2022,59,Medium,45,37,9.46,125,71
Berlin,January,2023,85,High,81,93,7.47,94,84
Berlin,February,2023,78,Medium,63,82,7.49,98,71
Berlin,March,2023,79,Medium,38,68,8.86,68,89
Berlin,April,2023,48,Medium,63,101,9.15,99,75
Berlin,May,2023,61,Low,20,148,5.86,97,65
Berlin,June,2023,79,High,34,36,7.58,127,98
Berlin,July,2023,47,Very High,34,132,8.1,121,73
Berlin,August,2023,75,Low,52,68,9.84,51,73
Berlin,September,2023,57,Very High,25,125,8.29,111,75
Berlin,October,2023,83,High,60,147,6.19,91,78
Berlin,November,2023,69,Medium,55,69,8.03,115,91
Berlin,December,2023,74,Low,70,127,9.06,76,83
Copenhagen,January,2014,65,Medium,82,140,7.69,68,61
Copenhagen,February,2014,61,Medium,84,104,10.0,87,69
Copenhagen,March,2014,57,Medium,58,102,9.57,113,95
Copenhagen,April,2014,66,Medium,72,122,8.89,112,89
Copenhagen,May,2014,55,High,55,51,8.45,119,91
Copenhagen,June,2014,56,Very High,79,112,10.0,117,62
Copenhagen,July,2014,49,Very High,16,127,5.15,67,100
Copenhagen,August,2014,59,Low,29,31,7.93,108,83
Copenhagen,September,2014,48,High,71,114,9.08,50,94
Copenhagen,October,2014,80,Medium,12,97,6.81,118,78
Copenhagen,November,2014,46,Medium,65,133,9.88,72,66
Copenhagen,December,2014,51,Medium,40,54,9.35,82,82
Copenhagen,January,2015,62,High,20,77,8.78,108,96
Copenhagen,February,2015,60,Very High,38,68,8.91,60,62
Copenhagen,March,2015,50,Medium,58,100,8.75,51,70
Copenhagen,April,2015,50,Medium,65,112,9.71,122,66
Copenhagen,May,2015,78,Very High,39,57,9.28,122,90
Copenhagen,June,2015,62,Low,19,117,7.84,119,96
Copenhagen,July,2015,47,Low,50,32,10.0,125,69
Copenhagen,August,2015,70,Very High,48,50,9.01,122,84
Copenhagen,September,2015,79,Medium,27,131,7.56,60,92
Copenhagen,October,2015,67,Low,65,59,10.0,93,98
Copenhagen,November,2015,84,Very High,60,129,6.78,84,88
Copenhagen,December,2015,76,Low,80,150,7.55,73,97
Copenhagen,January,2016,69,Low,47,132,6.41,59,65
Copenhagen,February,2016,62,Low,29,124,6.49,96,66
Copenhagen,March,2016,50,Low,49,86,8.32,84,66
Copenhagen,April,2016,53,Low,65,87,9.44,115,86
Copenhagen,May,2016,51,Low,55,100,7.45,126,80
Copenhagen,June,2016,69,Low,62,79,9.67,121,75
Copenhagen,July,2016,81,Medium,58,51,7.79,88,77
Copenhagen,August,2016,76,Low,31,85,6.59,88,90
Copenhagen,September,2016,49,Medium,41,122,8.11,126,99
Copenhagen,October,2016,57,Medium,27,68,6.53,100,81
Copenhagen,November,2016,84,Medium,52,86,7.34,126,68
Copenhagen,December,2016,64,Medium,35,91,7.1,100,80
Copenhagen,January,2017,63,High,72,103,9.78,91,84
Copenhagen,February,2017,62,High,60,76,7.86,122,72
Copenhagen,March,2017,82,Very High,33,117,7.32,53,89
Copenhagen,April,2017,58,Medium,47,136,8.0,102,91
Copenhagen,May,2017,53,High,40,62,9.25,104,84
Copenhagen,June,2017,49,Medium,71,104,8.99,114,86
Copenhagen,July,2017,79,Low,56,119,8.68,118,98
Copenhagen,August,2017,85,Very High,23,128,5.05,95,70
Copenhagen,September,2017,84,Low,61,126,6.89,105,66
Copenhagen,October,2017,45,Low,38,95,9.01,121,97
Copenhagen,November,2017,81,Low,57,80,8.14,125,92
Copenhagen,December,2017,54,Medium,13,91,5.89,103,65
Copenhagen,January,2018,52,High,28,74,7.52,108,73
Copenhagen,February,2018,78,Medium,70,42,9.43,107,80
Copenhagen,March,2018,49,Medium,24,32,9.9,63,70
Copenhagen,April,2018,60,Medium,80,50,9.89,104,89
Copenhagen,May,2018,59,High,33,53,8.91,105,85
Copenhagen,June,2018,46,High,35,87,8.56,99,60
Copenhagen,July,2018,58,Low,18,103,5.73,118,71
Copenhagen,August,2018,68,Medium,68,44,9.09,112,93
Copenhagen,September,2018,85,Medium,59,108,7.33,64,82
Copenhagen,October,2018,67,High,32,134,7.11,88,99
Copenhagen,November,2018,82,Low,27,70,6.07,89,67
Copenhagen,December,2018,56,Medium,28,95,7.21,126,68
Copenhagen,January,2019,81,Medium,33,92,7.46,72,95
Copenhagen,February,2019,55,Medium,27,53,7.81,107,99
Copenhagen,March,2019,48,Very High,11,92,6.07,99,95
Copenhagen,April,2019,77,High,62,117,7.81,106,91
Copenhagen,May,2019,55,Low,13,131,7.03,87,62
Copenhagen,June,2019,62,Low,46,51,9.8,122,91
Copenhagen,July,2019,80,Medium,83,44,9.34,119,83
Copenhagen,August,2019,79,High,15,127,6.35,119,73
Copenhagen,September,2019,72,Low,41,68,9.24,54,88
Copenhagen,October,2019,61,Medium,21,86,8.39,65,75
Copenhagen,November,2019,58,High,85,118,8.85,128,100
Copenhagen,December,2019,72,Low,27,130,5.44,76,63
Copenhagen,January,2020,81,Medium,45,106,7.37,91,78
Copenhagen,February,2020,63,Medium,75,145,8.75,62,68
Copenhagen,March,2020,71,Very High,45,140,7.34,66,75
Copenhagen,April,2020,54,High,41,127,8.51,100,91
Copenhagen,May,2020,54,Medium,44,110,7.68,107,64
Copenhagen,June,2020,85,High,21,81,6.72,85,83
Copenhagen,July,2020,74,Very High,51,104,6.25,61,89
Copenhagen,August,2020,85,High,55,138,5.58,118,85
Copenhagen,September,2020,58,Very High,37,93,7.19,86,81
Copenhagen,October,2020,80,Medium,82,139,8.06,93,63
Copenhagen,November,2020,47,Low,68,32,9.54,70,88
Copenhagen,December,2020,74,Low,64,55,10.0,66,79
Copenhagen,January,2021,55,Very High,45,41,9.79,82,65
Copenhagen,February,2021,68,High,31,36,8.17,89,74
Copenhagen,March,2021,72,High,22,30,7.26,59,68
Copenhagen,April,2021,82,Low,66,31,8.08,93,67
Copenhagen,May,2021,72,High,71,39,9.09,61,66
Copenhagen,June,2021,51,Medium,48,47,9.1,67,69
Copenhagen,July,2021,49,Medium,11,108,7.26,106,82
Copenhagen,August,2021,58,High,29,147,6.22,106,73
Copenhagen,September,2021,50,Very High,27,126,5.93,99,82
Copenhagen,October,2021,72,Medium,27,61,7.03,60,75
Copenhagen,November,2021,80,High,46,129,8.18,53,79
Copenhagen,December,2021,58,Medium,75,54,10.0,87,63
Copenhagen,January,2022,60,Medium,24,60,7.96,126,64
Copenhagen,February,2022,78,Very High,11,76,7.88,66,84
Copenhagen,March,2022,81,Medium,79,117,7.41,110,64
Copenhagen,April,2022,46,Medium,11,63,6.95,57,85
Copenhagen,May,2022,77,Medium,74,128,7.84,101,65
Copenhagen,June,2022,85,Medium,29,65,6.06,60,92
Copenhagen,July,2022,58,Very High,29,98,6.94,125,100
Copenhagen,August,2022,49,Medium,65,123,10.0,80,63
Copenhagen,September,2022,60,Low,65,44,9.78,127,63
Copenhagen,October,2022,64,High,32,45,7.0,67,60
Copenhagen,November,2022,55,Medium,54,96,8.64,83,70
Copenhagen,December,2022,68,Low,44,123,8.42,53,81
Copenhagen,January,2023,72,Medium,18,63,7.94,123,100
Copenhagen,February,2023,49,Medium,75,76,8.68,122,70
Copenhagen,March,2023,68,Low,23,144,6.22,64,74
Copenhagen,April,2023,77,Low,11,61,5.55,96,84
Copenhagen,May,2023,54,Low,14,100,7.85,103,74
Copenhagen,June,2023,65,Low,50,64,9.75,123,83
Copenhagen,July,2023,52,Medium,16,52,7.21,116,62
Copenhagen,August,2023,70,Low,69,140,7.21,89,80
Copenhagen,September,2023,50,Medium,11,77,6.5,122,79
Copenhagen,October,2023,84,Low,57,105,9.08,75,94
Copenhagen,November,2023,60,Low,62,33,9.22,94,100
Copenhagen,December,2023,45,Very High,10,127,6.98,89,66
Dublin,January,2014,58,Medium,40,83,8.18,57,69
Dublin,February,2014,62,Low,39,144,7.86,102,83
Dublin,March,2014,74,Very High,20,104,5.29,67,100
Dublin,April,2014,70,Low,82,37,10.0,66,75
Dublin,May,2014,63,Medium,50,148,8.05,91,80
Dublin,June,2014,73,Medium,19,150,4.68,124,66
Dublin,July,2014,54,Low,67,89,8.72,65,94
Dublin,August,2014,67,Very High,36,87,7.11,83,67
Dublin,September,2014,50,Low,48,135,8.33,127,62
Dublin,October,2014,58,High,51,48,8.11,81,82
Dublin,November,2014,70,Medium,48,63,9.52,72,61
Dublin,December,2014,70,Very High,81,125,8.79,62,89
Dublin,January,2015,51,High,27,45,7.19,78,68
Dublin,February,2015,57,High,57,117,8.62,60,97
Dublin,March,2015,82,Medium,19,32,9.15,75,88
