city,month,year,decibel_level,traffic_density,green_space_area,air_quality_index,happiness_score,cost_of_living_index,healthcare_index,date,period
Berlin,February,2014,58,High,35.0,149.0,5.32,74,66.0,2014-02-01,2014-02
Helsinki,February,2014,71,Very High,50.0,91.0,8.2,92,75.0,2014-02-01,2014-02
Copenhagen,February,2014,74,Medium,77.0,126.0,8.73,116,65.0,2014-02-01,2014-02
Sydney,February,2014,50,Very High,72.0,107.0,9.1,129,78.0,2014-02-01,2014-02
Warsaw,February,2014,68,Low,62.0,81.0,9.53,94,88.0,2014-02-01,2014-02
Rome,February,2014,71,Very High,75.0,38.0,9.54,51,96.0,2014-02-01,2014-02
Barcelona,February,2014,50,Medium,28.0,66.0,9.28,106,90.0,2014-02-01,2014-02
Dublin,February,2014,47,Low,59.0,80.0,9.97,106,65.0,2014-02-01,2014-02
Tokyo,February,2014,85,High,37.0,127.0,5.81,97,80.0,2014-02-01,2014-02
London,February,2014,71,Very High,44.0,31.0,7.54,74,91.0,2014-02-01,2014-02
Prague,February,2014,73,High,40.0,126.0,5.67,60,69.0,2014-02-01,2014-02
Prague,February,2014,67,Low,11.0,72.0,5.55,97,79.0,2014-02-01,2014-02
Stockholm,February,2014,45,Medium,18.0,148.0,7.12,110,66.0,2014-02-01,2014-02
New York,February,2014,55,Medium,37.0,49.0,8.23,115,66.0,2014-02-01,2014-02
Melbourne,February,2014,84,Low,78.0,45.0,9.36,60,65.0,2014-02-01,2014-02
Toronto,February,2014,54,Low,39.0,87.0,7.12,100,93.0,2014-02-01,2014-02
Oslo,February,2014,72,Medium,20.0,140.0,7.1,83,62.0,2014-02-01,2014-02
San Francisco,February,2014,54,Low,83.0,45.0,10.0,95,74.0,2014-02-01,2014-02
Montreal,February,2014,67,High,49.0,77.0,9.43,104,75.0,2014-02-01,2014-02
Toronto,February,2014,79,Medium,17.0,138.0,4.42,112,97.0,2014-02-01,2014-02
Oslo,March,2014,73,Medium,25.0,122.0,6.86,62,65.0,2014-03-01,2014-03
Sydney,March,2014,83,Very High,78.0,81.0,8.68,126,72.0,2014-03-01,2014-03
Stockholm,March,2014,85,Low,54.0,102.0,8.09,129,80.0,2014-03-01,2014-03
Helsinki,March,2014,59,Medium,63.0,129.0,6.72,80,73.0,2014-03-01,2014-03
Prague,March,2014,48,Very High,63.0,85.0,9.51,95,93.0,2014-03-01,2014-03
Auckland,March,2014,84,High,58.0,67.0,7.64,96,64.0,2014-03-01,2014-03
New York,March,2014,69,Very High,33.0,75.0,8.22,129,81.0,2014-03-01,2014-03
Melbourne,March,2014,55,High,21.0,50.0,7.71,118,100.0,2014-03-01,2014-03
Tokyo,March,2014,82,Very High,43.0,74.0,7.79,50,93.0,2014-03-01,2014-03
Lisbon,March,2014,74,High,79.0,113.0,8.46,115,65.0,2014-03-01,2014-03
Rome,March,2014,64,High,14.0,136.0,7.15,61,99.0,2014-03-01,2014-03
Zurich,March,2014,83,Very High,17.0,49.0,7.53,85,91.0,2014-03-01,2014-03
Toronto,March,2014,85,Low,43.0,91.0,7.04,75,68.0,2014-03-01,2014-03
Berlin,March,2014,45,Low,85.0,47.0,10.0,56,87.0,2014-03-01,2014-03
Tokyo,March,2014,50,Low,34.0,77.0,7.73,102,70.0,2014-03-01,2014-03
San Francisco,March,2014,51,Medium,71.0,94.0,8.16,130,80.0,2014-03-01,2014-03
Paris,March,2014,72,Medium,74.0,127.0,9.74,114,98.0,2014-03-01,2014-03
Paris,March,2014,85,Low,21.0,122.0,6.39,86,65.0,2014-03-01,2014-03
Montreal,March,2014,77,Medium,15.0,128.0,4.53,76,86.0,2014-03-01,2014-03
Warsaw,March,2014,45,Low,66.0,114.0,9.72,72,94.0,2014-03-01,2014-03
Vienna,March,2014,55,Medium,39.0,58.0,9.86,105,80.0,2014-03-01,2014-03
London,March,2014,76,High,19.0,44.0,8.25,118,76.0,2014-03-01,2014-03
Copenhagen,March,2014,75,High,16.0,98.0,7.81,110,81.0,2014-03-01,2014-03
Dublin,March,2014,48,High,81.0,109.0,8.18,116,90.0,2014-03-01,2014-03
Barcelona,March,2014,59,Medium,40.0,115.0,6.33,56,81.0,2014-03-01,2014-03
Stockholm,April,2014,66,Medium,44.0,116.0,8.92,126,98.0,2014-04-01,2014-04
Tokyo,April,2014,61,Medium,32.0,136.0,5.98,129,70.0,2014-04-01,2014-04
Berlin,April,2014,65,Low,26.0,114.0,7.6,99,98.0,2014-04-01,2014-04
Sydney,April,2014,78,Low,70.0,116.0,9.06,51,84.0,2014-04-01,2014-04
Helsinki,April,2014,80,Very High,27.0,48.0,6.63,103,74.0,2014-04-01,2014-04
Warsaw,April,2014,63,Medium,67.0,73.0,8.29,110,62.0,2014-04-01,2014-04
Oslo,April,2014,61,Medium,49.0,32.0,8.71,51,73.0,2014-04-01,2014-04
New York,April,2014,48,Very High,41.0,112.0,8.47,112,80.0,2014-04-01,2014-04
Lisbon,April,2014,72,Low,35.0,44.0,9.48,130,91.0,2014-04-01,2014-04
London,April,2014,50,Medium,25.0,143.0,6.55,113,93.0,2014-04-01,2014-04
Zurich,April,2014,62,Medium,58.0,90.0,8.32,89,76.0,2014-04-01,2014-04
Dublin,April,2014,65,Very High,84.0,133.0,7.79,55,61.0,2014-04-01,2014-04
Rome,April,2014,56,High,35.0,70.0,7.34,125,62.0,2014-04-01,2014-04
Auckland,April,2014,62,Low,56.0,75.0,8.11,59,70.0,2014-04-01,2014-04
Montreal,April,2014,68,Low,47.0,42.0,9.73,68,66.0,2014-04-01,2014-04
Montreal,April,2014,73,Very High,61.0,133.0,6.33,105,87.0,2014-04-01,2014-04
Melbourne,April,2014,82,Low,37.0,109.0,8.14,58,74.0,2014-04-01,2014-04
Barcelona,April,2014,63,Medium,70.0,55.0,9.01,57,65.0,2014-04-01,2014-04
Copenhagen,April,2014,55,Low,82.0,110.0,9.38,87,99.0,2014-04-01,2014-04
San Francisco,April,2014,74,High,12.0,89.0,5.88,64,79.0,2014-04-01,2014-04
Vienna,May,2014,58,Medium,78.0,67.0,10.0,99,93.0,2014-05-01,2014-05
Melbourne,May,2014,67,Medium,15.0,89.0,5.31,97,86.0,2014-05-01,2014-05
Montreal,May,2014,48,Low,69.0,72.0,9.86,86,93.0,2014-05-01,2014-05
Tokyo,May,2014,48,Very High,47.0,79.0,7.51,129,76.0,2014-05-01,2014-05
Toronto,May,2014,68,High,34.0,51.0,6.88,89,68.0,2014-05-01,2014-05
Helsinki,May,2014,82,Medium,64.0,119.0,6.64,126,61.0,2014-05-01,2014-05
Warsaw,May,2014,45,Medium,48.0,44.0,10.0,65,67.0,2014-05-01,2014-05
London,May,2014,54,High,18.0,108.0,6.01,55,92.0,2014-05-01,2014-05
Copenhagen,May,2014,83,High,45.0,31.0,7.72,125,88.0,2014-05-01,2014-05
Lisbon,May,2014,81,Low,44.0,108.0,8.53,68,73.0,2014-05-01,2014-05
New York,May,2014,69,Medium,47.0,114.0,6.84,57,78.0,2014-05-01,2014-05
Rome,May,2014,59,Medium,32.0,102.0,7.85,61,65.0,2014-05-01,2014-05
Auckland,May,2014,47,Very High,51.0,129.0,8.25,101,73.0,2014-05-01,2014-05
Prague,May,2014,62,Low,27.0,111.0,8.05,101,70.0,2014-05-01,2014-05
Oslo,May,2014,70,Medium,42.0,143.0,5.63,68,66.0,2014-05-01,2014-05
Barcelona,May,2014,70,Low,32.0,34.0,7.03,73,78.0,2014-05-01,2014-05
Sydney,May,2014,64,High,79.0,31.0,10.0,66,85.0,2014-05-01,2014-05
Berlin,May,2014,64,Very High,62.0,143.0,6.8,120,95.0,2014-05-01,2014-05
Zurich,May,2014,66,High,13.0,34.0,8.08,90,64.0,2014-05-01,2014-05
Paris,May,2014,70,Medium,80.0,36.0,10.0,65,85.0,2014-05-01,2014-05
Stockholm,May,2014,50,High,43.0,51.0,7.82,64,73.0,2014-05-01,2014-05
Zurich,May,2014,78,High,72.0,63.0,9.45,113,67.0,2014-05-01,2014-05
San Francisco,May,2014,49,Medium,20.0,99.0,6.56,123,90.0,2014-05-01,2014-05
Auckland,June,2014,79,Medium,28.0,61.0,6.69,124,97.0,2014-06-01,2014-06
Dublin,June,2014,52,High,28.0,71.0,8.17,80,97.0,2014-06-01,2014-06
Paris,June,2014,75,Low,38.0,90.0,8.15,84,77.0,2014-06-01,2014-06
Montreal,June,2014,67,Low,65.0,98.0,7.49,104,91.0,2014-06-01,2014-06
London,June,2014,48,Medium,42.0,74.0,7.81,69,92.0,2014-06-01,2014-06
New York,June,2014,49,Medium,70.0,70.0,10.0,130,83.0,2014-06-01,2014-06
Toronto,June,2014,58,High,16.0,89.0,7.49,87,85.0,2014-06-01,2014-06
Paris,June,2014,66,Medium,37.0,96.0,6.8,56,62.0,2014-06-01,2014-06
Warsaw,June,2014,47,Low,45.0,113.0,8.55,89,79.0,2014-06-01,2014-06
Tokyo,June,2014,67,High,19.0,103.0,7.48,74,64.0,2014-06-01,2014-06
Sydney,June,2014,76,Medium,57.0,137.0,8.23,87,64.0,2014-06-01,2014-06
San Francisco,June,2014,85,High,43.0,111.0,5.94,88,89.0,2014-06-01,2014-06
Zurich,June,2014,67,Medium,82.0,130.0,8.82,55,85.0,2014-06-01,2014-06
Vienna,June,2014,70,Low,76.0,113.0,7.91,77,64.0,2014-06-01,2014-06
Copenhagen,June,2014,54,Low,20.0,106.0,7.74,102,75.0,2014-06-01,2014-06
Barcelona,June,2014,77,Very High,79.0,143.0,7.87,74,81.0,2014-06-01,2014-06
Rome,June,2014,85,High,39.0,69.0,6.69,254,71.0,2014-06-01,2014-06
Prague,June,2014,63,High,51.0,89.0,7.75,80,76.0,2014-06-01,2014-06
Oslo,June,2014,59,High,21.0,49.0,7.04,126,78.0,2014-06-01,2014-06
Melbourne,June,2014,80,Low,24.0,90.0,7.17,93,62.0,2014-06-01,2014-06
Helsinki,June,2014,64,High,70.0,125.0,7.35,93,60.0,2014-06-01,2014-06
Berlin,June,2014,52,Medium,32.0,118.0,7.99,121,96.0,2014-06-01,2014-06
Stockholm,June,2014,59,Medium,40.0,129.0,8.06,104,85.0,2014-06-01,2014-06
Lisbon,June,2014,45,Medium,27.0,121.0,5.83,72,64.0,2014-06-01,2014-06
Oslo,July,2014,59,Medium,43.0,145.0,6.03,95,72.0,2014-07-01,2014-07
Paris,July,2014,58,Medium,58.0,85.0,7.55,80,86.0,2014-07-01,2014-07
Paris,July,2014,69,Medium,35.0,126.0,6.57,129,75.0,2014-07-01,2014-07
London,July,2014,54,Medium,41.0,66.0,8.8,90,64.0,2014-07-01,2014-07
Vienna,July,2014,68,Low,22.0,76.0,7.41,119,80.0,2014-07-01,2014-07
Toronto,July,2014,59,Medium,60.0,69.0,8.38,50,96.0,2014-07-01,2014-07
London,July,2014,70,High,61.0,110.0,7.81,103,88.0,2014-07-01,2014-07
Barcelona,July,2014,70,High,34.0,139.0,5.53,115,85.0,2014-07-01,2014-07
Zurich,July,2014,84,Low,48.0,65.0,8.49,83,85.0,2014-07-01,2014-07
Stockholm,July,2014,50,Medium,10.0,70.0,7.56,108,62.0,2014-07-01,2014-07
Dublin,July,2014,46,Medium,18.0,82.0,8.15,125,75.0,2014-07-01,2014-07
Melbourne,July,2014,53,Medium,23.0,68.0,7.71,98,77.0,2014-07-01,2014-07
Tokyo,July,2014,47,Very High,72.0,38.0,10.0,93,65.0,2014-07-01,2014-07
Lisbon,July,2014,80,Low,69.0,38.0,10.0,94,72.0,2014-07-01,2014-07
Sydney,July,2014,66,Low,45.0,55.0,9.46,99,60.0,2014-07-01,2014-07
Auckland,July,2014,72,Low,24.0,50.0,9.21,99,89.0,2014-07-01,2014-07
Copenhagen,July,2014,64,High,24.0,89.0,6.2,118,84.0,2014-07-01,2014-07
San Francisco,July,2014,47,Medium,49.0,96.0,7.81,128,63.0,2014-07-01,2014-07
Berlin,July,2014,48,Medium,11.0,33.0,8.89,75,70.0,2014-07-01,2014-07
New York,July,2014,81,High,47.0,149.0,6.73,125,97.0,2014-07-01,2014-07
Warsaw,July,2014,64,Medium,14.0,79.0,8.12,92,82.0,2014-07-01,2014-07
Rome,July,2014,78,Medium,40.0,90.0,8.29,128,62.0,2014-07-01,2014-07
Vienna,July,2014,58,Low,29.0,31.0,9.73,101,63.0,2014-07-01,2014-07
Helsinki,July,2014,61,High,64.0,142.0,6.86,114,74.0,2014-07-01,2014-07
Paris,August,2014,45,Very High,41.0,127.0,7.85,51,84.0,2014-08-01,2014-08
Rome,August,2014,62,Medium,27.0,73.0,8.54,52,82.0,2014-08-01,2014-08
New York,August,2014,55,Medium,47.0,51.0,10.0,59,91.0,2014-08-01,2014-08
London,August,2014,81,Very High,23.0,30.0,8.68,99,67.0,2014-08-01,2014-08
Dublin,August,2014,79,Medium,28.0,51.0,9.11,121,60.0,2014-08-01,2014-08
Montreal,August,2014,72,High,14.0,64.0,8.01,92,61.0,2014-08-01,2014-08
Zurich,August,2014,77,Medium,52.0,59.0,9.93,72,76.0,2014-08-01,2014-08
Berlin,August,2014,80,High,55.0,43.0,9.84,121,92.0,2014-08-01,2014-08
Barcelona,August,2014,81,Low,44.0,68.0,7.87,96,63.0,2014-08-01,2014-08
Vienna,August,2014,47,Medium,40.0,113.0,7.13,62,66.0,2014-08-01,2014-08
Toronto,August,2014,85,High,77.0,104.0,8.65,123,71.0,2014-08-01,2014-08
Vienna,August,2014,77,Medium,56.0,84.0,9.09,105,65.0,2014-08-01,2014-08
Helsinki,August,2014,80,Very High,17.0,53.0,7.68,59,89.0,2014-08-01,2014-08
Sydney,August,2014,101,High,23.0,138.0,3.99,79,65.0,2014-08-01,2014-08
Melbourne,August,2014,50,Low,47.0,66.0,7.97,117,66.0,2014-08-01,2014-08
Warsaw,August,2014,76,Low,60.0,57.0,10.0,71,80.0,2014-08-01,2014-08
Oslo,August,2014,80,Medium,21.0,42.0,8.16,120,66.0,2014-08-01,2014-08
Stockholm,August,2014,66,Medium,14.0,57.0,7.27,71,62.0,2014-08-01,2014-08
San Francisco,August,2014,48,High,63.0,110.0,8.83,51,86.0,2014-08-01,2014-08
Auckland,August,2014,72,High,44.0,73.0,8.93,50,76.0,2014-08-01,2014-08
Prague,August,2014,48,Low,11.0,51.0,7.49,77,69.0,2014-08-01,2014-08
Lisbon,August,2014,49,Medium,42.0,112.0,8.16,63,77.0,2014-08-01,2014-08
Copenhagen,August,2014,79,Very High,77.0,35.0,9.31,105,77.0,2014-08-01,2014-08
Tokyo,August,2014,83,Low,11.0,73.0,7.63,58,87.0,2014-08-01,2014-08
London,September,2014,69,Low,83.0,66.0,10.0,80,99.0,2014-09-01,2014-09
New York,September,2014,79,Very High,65.0,109.0,7.97,108,96.0,2014-09-01,2014-09
Prague,September,2014,59,Very High,78.0,47.0,10.0,52,68.0,2014-09-01,2014-09
Auckland,September,2014,78,High,35.0,127.0,6.11,126,61.0,2014-09-01,2014-09
Oslo,September,2014,52,High,12.0,140.0,5.41,57,71.0,2014-09-01,2014-09
Barcelona,September,2014,84,Very High,25.0,150.0,5.8,67,89.0,2014-09-01,2014-09
Zurich,September,2014,45,Medium,74.0,49.0,9.16,98,65.0,2014-09-01,2014-09
Vienna,September,2014,79,High,50.0,67.0,9.48,108,84.0,2014-09-01,2014-09
Warsaw,September,2014,62,High,47.0,115.0,6.96,128,86.0,2014-09-01,2014-09
Helsinki,September,2014,66,Low,44.0,39.0,9.29,86,66.0,2014-09-01,2014-09
Dublin,September,2014,67,Low,44.0,137.0,5.99,77,92.0,2014-09-01,2014-09
Rome,September,2014,85,Medium,44.0,147.0,6.04,81,98.0,2014-09-01,2014-09
Stockholm,September,2014,73,High,43.0,61.0,9.7,63,67.0,2014-09-01,2014-09
Toronto,September,2014,71,Very High,30.0,110.0,7.55,127,90.0,2014-09-01,2014-09
Sydney,September,2014,53,Low,39.0,49.0,9.23,210,69.0,2014-09-01,2014-09
Copenhagen,September,2014,56,Medium,85.0,96.0,8.59,51,80.0,2014-09-01,2014-09
Dublin,September,2014,61,Medium,22.0,66.0,6.41,69,86.0,2014-09-01,2014-09
San Francisco,September,2014,47,Very High,27.0,63.0,9.06,126,98.0,2014-09-01,2014-09
Montreal,September,2014,79,High,12.0,63.0,7.92,120,96.0,2014-09-01,2014-09
Melbourne,September,2014,80,Very High,20.0,65.0,8.21,60,95.0,2014-09-01,2014-09
Berlin,September,2014,61,Very High,50.0,89.0,8.81,106,100.0,2014-09-01,2014-09
Tokyo,September,2014,56,High,80.0,37.0,10.0,88,70.0,2014-09-01,2014-09
Lisbon,September,2014,84,High,85.0,133.0,9.69,110,60.0,2014-09-01,2014-09
Dublin,October,2014,84,Low,81.0,142.0,9.32,90,81.0,2014-10-01,2014-10
Barcelona,October,2014,50,Medium,37.0,117.0,6.48,117,64.0,2014-10-01,2014-10
San Francisco,October,2014,52,Very High,28.0,43.0,7.4,73,85.0,2014-10-01,2014-10
London,October,2014,69,Very High,38.0,111.0,6.63,70,61.0,2014-10-01,2014-10
Helsinki,October,2014,81,Medium,44.0,102.0,6.72,111,80.0,2014-10-01,2014-10
Toronto,October,2014,51,High,42.0,85.0,9.18,62,79.0,2014-10-01,2014-10
Melbourne,October,2014,66,High,15.0,142.0,6.04,56,66.0,2014-10-01,2014-10
Sydney,October,2014,79,Low,19.0,33.0,8.63,112,76.0,2014-10-01,2014-10
Auckland,October,2014,79,Low,20.0,92.0,6.67,66,95.0,2014-10-01,2014-10
Copenhagen,October,2014,58,Low,13.0,37.0,8.35,65,67.0,2014-10-01,2014-10
Lisbon,October,2014,73,Low,51.0,36.0,8.35,110,92.0,2014-10-01,2014-10
Oslo,October,2014,56,Low,47.0,122.0,7.43,66,100.0,2014-10-01,2014-10
Zurich,October,2014,74,Medium,29.0,58.0,8.88,63,80.0,2014-10-01,2014-10
Vienna,October,2014,71,Low,49.0,40.0,8.42,57,84.0,2014-10-01,2014-10
Rome,October,2014,78,Low,15.0,45.0,6.27,54,97.0,2014-10-01,2014-10
Warsaw,October,2014,80,High,47.0,119.0,6.22,119,86.0,2014-10-01,2014-10
Berlin,October,2014,56,High,47.0,117.0,7.15,65,87.0,2014-10-01,2014-10
Montreal,October,2014,84,Low,18.0,52.0,7.45,54,79.0,2014-10-01,2014-10
Paris,October,2014,82,Low,64.0,31.0,8.47,77,97.0,2014-10-01,2014-10
Tokyo,October,2014,45,High,44.0,67.0,8.76,77,83.0,2014-10-01,2014-10
Stockholm,October,2014,84,High,42.0,84.0,7.05,91,70.0,2014-10-01,2014-10
New York,October,2014,46,Very High,33.0,113.0,7.61,93,93.0,2014-10-01,2014-10
Prague,October,2014,53,High,47.0,106.0,7.2,61,94.0,2014-10-01,2014-10
Auckland,November,2014,73,Very High,49.0,115.0,6.03,107,74.0,2014-11-01,2014-11
Copenhagen,November,2014,49,High,24.0,62.0,9.09,85,80.0,2014-11-01,2014-11
Stockholm,November,2014,114,High,35.0,118.0,5.38,55,69.0,2014-11-01,2014-11
Tokyo,November,2014,46,Low,47.0,45.0,10.0,88,69.0,2014-11-01,2014-11
Warsaw,November,2014,58,High,16.0,94.0,8.18,51,92.0,2014-11-01,2014-11
Melbourne,November,2014,60,Medium,43.0,150.0,5.73,71,96.0,2014-11-01,2014-11
Dublin,November,2014,45,High,47.0,118.0,9.48,50,71.0,2014-11-01,2014-11
Montreal,November,2014,73,High,38.0,55.0,7.04,103,95.0,2014-11-01,2014-11
Prague,November,2014,59,Medium,36.0,89.0,7.06,95,73.0,2014-11-01,2014-11
Vienna,November,2014,69,Medium,75.0,109.0,7.32,67,77.0,2014-11-01,2014-11
San Francisco,November,2014,84,Medium,11.0,96.0,6.71,77,99.0,2014-11-01,2014-11
Paris,November,2014,74,Low,43.0,118.0,8.21,122,98.0,2014-11-01,2014-11
Helsinki,November,2014,51,Very High,60.0,46.0,10.0,114,69.0,2014-11-01,2014-11
Toronto,November,2014,78,Medium,80.0,124.0,8.69,128,77.0,2014-11-01,2014-11
Lisbon,November,2014,58,High,50.0,143.0,7.37,85,87.0,2014-11-01,2014-11
Berlin,November,2014,85,Low,15.0,71.0,5.35,88,96.0,2014-11-01,2014-11
Oslo,November,2014,59,Medium,73.0,85.0,8.87,83,62.0,2014-11-01,2014-11
Zurich,November,2014,79,Low,68.0,44.0,8.51,50,90.0,2014-11-01,2014-11
New York,November,2014,57,High,83.0,119.0,8.3,61,84.0,2014-11-01,2014-11
Barcelona,November,2014,82,Low,76.0,117.0,8.28,115,63.0,2014-11-01,2014-11
Rome,November,2014,72,Very High,61.0,96.0,8.09,118,76.0,2014-11-01,2014-11
Sydney,November,2014,54,Medium,79.0,141.0,7.5,64,93.0,2014-11-01,2014-11
Toronto,December,2014,65,High,56.0,84.0,9.66,61,79.0,2014-12-01,2014-12
Prague,December,2014,82,Medium,33.0,83.0,7.56,123,75.0,2014-12-01,2014-12
New York,December,2014,49,High,25.0,50.0,7.85,53,91.0,2014-12-01,2014-12
Auckland,December,2014,77,Low,18.0,140.0,6.76,112,68.0,2014-12-01,2014-12
Paris,December,2014,74,Very High,78.0,47.0,9.28,113,80.0,2014-12-01,2014-12
Oslo,December,2014,50,Medium,48.0,33.0,10.0,50,100.0,2014-12-01,2014-12
London,December,2014,84,Medium,37.0,102.0,6.34,109,86.0,2014-12-01,2014-12
Sydney,December,2014,81,Very High,74.0,31.0,9.8,89,86.0,2014-12-01,2014-12
Barcelona,December,2014,82,Medium,60.0,30.0,8.02,104,64.0,2014-12-01,2014-12
Tokyo,December,2014,79,Medium,76.0,76.0,9.45,119,71.0,2014-12-01,2014-12
Warsaw,December,2014,83,Very High,39.0,99.0,6.73,73,83.0,2014-12-01,2014-12
San Francisco,December,2014,75,Low,51.0,117.0,6.01,60,75.0,2014-12-01,2014-12
Berlin,December,2014,67,Very High,30.0,98.0,6.39,77,81.0,2014-12-01,2014-12
Montreal,December,2014,56,Low,72.0,64.0,10.0,105,92.0,2014-12-01,2014-12
Stockholm,December,2014,55,Very High,52.0,67.0,9.23,116,90.0,2014-12-01,2014-12
Rome,December,2014,84,Very High,65.0,40.0,8.56,60,73.0,2014-12-01,2014-12
Vienna,December,2014,72,Medium,38.0,48.0,7.53,72,77.0,2014-12-01,2014-12
Copenhagen,December,2014,57,Medium,43.0,38.0,10.0,72,66.0,2014-12-01,2014-12
Dublin,December,2014,73,Medium,19.0,144.0,5.26,95,84.0,2014-12-01,2014-12
Melbourne,December,2014,78,High,75.0,89.0,8.07,123,72.0,2014-12-01,2014-12
Zurich,December,2014,76,Medium,71.0,35.0,8.89,61,70.0,2014-12-01,2014-12
Helsinki,December,2014,59,Low,20.0,41.0,8.21,68,70.0,2014-12-01,2014-12
Lisbon,December,2014,67,Medium,13.0,139.0,4.77,77,72.0,2014-12-01,2014-12
Prague,January,2015,72,High,12.0,104.0,6.89,68,81.0,2015-01-01,2015-01
Berlin,January,2015,84,Very High,11.0,74.0,7.33,81,80.0,2015-01-01,2015-01
Warsaw,January,2015,51,Medium,24.0,74.0,8.76,101,88.0,2015-01-01,2015-01
Copenhagen,January,2015,73,Very High,19.0,123.0,4.72,113,80.0,2015-01-01,2015-01
Oslo,January,2015,55,Medium,20.0,82.0,8.01,62,68.0,2015-01-01,2015-01
Lisbon,January,2015,61,Medium,49.0,146.0,7.64,51,62.0,2015-01-01,2015-01
Barcelona,January,2015,71,Medium,27.0,123.0,7.04,98,84.0,2015-01-01,2015-01
Rome,January,2015,66,Very High,55.0,123.0,7.41,114,61.0,2015-01-01,2015-01
Helsinki,January,2015,72,Medium,26.0,76.0,8.73,99,99.0,2015-01-01,2015-01
New York,January,2015,74,High,47.0,83.0,7.51,89,87.0,2015-01-01,2015-01
Stockholm,January,2015,79,Very High,70.0,62.0,8.43,89,78.0,2015-01-01,2015-01
San Francisco,January,2015,57,Very High,40.0,31.0,9.68,122,62.0,2015-01-01,2015-01
Zurich,January,2015,73,Very High,85.0,44.0,10.0,96,94.0,2015-01-01,2015-01
Dublin,January,2015,59,High,69.0,54.0,10.0,85,82.0,2015-01-01,2015-01
Paris,January,2015,77,Low,46.0,148.0,6.71,121,95.0,2015-01-01,2015-01
London,January,2015,55,Medium,62.0,57.0,8.81,116,88.0,2015-01-01,2015-01
Tokyo,January,2015,85,Very High,23.0,69.0,7.17,90,69.0,2015-01-01,2015-01
Montreal,January,2015,53,Very High,43.0,85.0,8.55,109,89.0,2015-01-01,2015-01
Vienna,January,2015,45,Medium,68.0,38.0,9.84,71,83.0,2015-01-01,2015-01
Toronto,January,2015,57,High,47.0,80.0,9.56,103,68.0,2015-01-01,2015-01
Melbourne,January,2015,82,Medium,27.0,105.0,5.78,81,67.0,2015-01-01,2015-01
Sydney,January,2015,67,Medium,74.0,66.0,10.0,103,79.0,2015-01-01,2015-01
Auckland,January,2015,48,Medium,65.0,82.0,8.35,62,81.0,2015-01-01,2015-01
London,February,2015,71,Very High,61.0,132.0,7.63,81,68.0,2015-02-01,2015-02
Lisbon,February,2015,75,High,83.0,140.0,9.39,130,71.0,2015-02-01,2015-02
Dublin,February,2015,83,Low,14.0,145.0,6.28,75,100.0,2015-02-01,2015-02
Melbourne,February,2015,52,High,24.0,113.0,6.07,51,81.0,2015-02-01,2015-02
Melbourne,February,2015,52,Low,26.0,134.0,6.05,81,62.0,2015-02-01,2015-02
Barcelona,February,2015,59,High,78.0,46.0,10.0,52,89.0,2015-02-01,2015-02
Stockholm,February,2015,56,High,33.0,85.0,6.87,118,77.0,2015-02-01,2015-02
